pc_timestamp,mode,temperature,control_voltage,power_current,water_leak,sensor_status,sensor_update,fault_status,power_status,force_cmd1,force_cmd2,force_cmd3,force_cmd4,force_cmd5,force_cmd6,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,linear_vel_x,linear_vel_y,linear_vel_z,longitude,latitude,depth_raw,depth_lpf,depth_ma,altitude,target_longitude,target_latitude,target_depth,target_roll,target_pitch,target_yaw,target_altitude,target_speed,utc_year,utc_month,utc_day,utc_hour,utc_minute,utc_second
1753802779.922090,4,2.72,20.20,2.91,0,1000000,11100,000100000,-32765,0,0,0,0,0,0,-2.40,1.04,47.54,0.00,0.00,0.00,0.00,0.00,0.00,122.0896420,37.5441387,0.193,0.193,0.193,0.000,122.0896362,37.5441863,-0.166,0.00,57.29,-3.34,-0.000,620.36,25,7,4,2,56,41.0
1753802779.923293,4,4.16,20.20,2.91,0,1000000,11100,000100000,-32765,0,0,0,0,0,0,-2.40,1.04,47.54,0.00,0.00,0.00,0.00,0.00,0.00,122.0896420,37.5441387,0.211,0.196,0.202,0.000,122.0896362,37.5441863,-0.166,0.00,57.29,-3.34,-0.000,620.36,25,7,4,2,56,41.0
1753802779.924149,4,2.72,20.20,2.91,0,1000000,11100,000100000,-32765,0,0,0,0,0,0,-2.40,1.04,47.54,0.00,0.00,0.00,0.00,0.00,0.00,122.0896420,37.5441387,0.212,0.199,0.205,0.000,122.0896362,37.5441863,-0.166,0.00,57.29,-3.34,-0.000,620.36,25,7,4,2,56,42.0
1753802779.925020,4,2.72,20.20,2.91,0,1000000,11100,000100000,-32765,0,0,0,0,0,0,-2.40,1.04,47.54,0.00,0.00,0.00,0.00,0.00,0.00,122.0896420,37.5441387,0.186,0.197,0.200,0.000,122.0896362,37.5441863,-0.166,0.00,57.29,-3.34,-0.000,620.36,25,7,4,2,56,42.0
1753802779.925596,4,2.72,20.20,2.93,0,1000000,11100,000100000,-32765,0,0,0,0,0,0,-2.40,1.04,47.54,0.00,0.00,0.00,0.00,0.00,0.00,122.0896420,37.5441387,0.206,0.199,0.201,0.000,122.0896362,37.5441863,-0.166,0.00,57.29,-3.34,-0.000,620.36,25,7,4,2,56,42.0
1753802779.926184,4,2.72,20.20,2.90,0,1000000,11100,000100000,-32765,0,0,0,0,0,0,-2.40,1.04,47.54,0.00,0.00,0.00,0.00,0.00,0.00,122.0896420,37.5441387,0.201,0.199,0.203,0.000,122.0896362,37.5441863,-0.166,0.00,57.29,-3.34,-0.000,620.36,25,7,4,2,56,42.0
1753802779.926679,4,2.72,20.20,2.90,0,1000000,11100,000100000,-32765,0,0,0,0,0,0,-2.40,1.04,47.54,0.00,0.00,0.00,0.00,0.00,0.00,122.0896420,37.5441387,0.221,0.203,0.205,0.000,122.0896362,37.5441863,-0.166,0.00,57.29,-3.34,-0.000,620.36,25,7,4,2,56,42.0
1753802779.927149,4,2.72,20.20,2.97,0,1000000,11100,000100000,-32765,0,0,0,0,0,0,-2.40,1.04,47.54,0.00,0.00,0.00,0.00,0.00,0.00,122.0896420,37.5441387,0.219,0.206,0.206,0.000,122.0896362,37.5441863,-0.166,0.00,57.29,-3.34,-0.000,620.36,25,7,4,2,56,42.0
1753802779.927563,4,2.62,20.20,2.97,0,1000000,11100,000100000,-32765,0,0,0,0,0,0,-2.40,1.04,47.54,0.00,0.00,0.00,0.00,0.00,0.00,122.0896420,37.5441387,0.217,0.209,0.213,0.000,122.0896362,37.5441863,-0.166,0.00,57.29,-3.34,-0.000,620.36,25,7,4,2,56,42.0
1753802779.928000,4,2.62,20.20,2.93,0,1000000,11100,000100000,-32765,0,0,0,0,0,0,-2.40,1.04,47.54,0.00,0.00,0.00,0.00,0.00,0.00,122.0896420,37.5441387,0.191,0.205,0.210,0.000,122.0896362,37.5441863,-0.166,0.00,57.29,-3.34,-0.000,620.36,25,7,4,2,56,42.0
